number	name	name_kana	grade_member	grade_platina	grade_premium	address	tel
3570021	BLOOM ｉｎｆｉｎｉｔｙ		○			大阪府豊中市服部元町１－９－２０	06-6867-4112
3570022	GRANS		○			兵庫県尼崎市浜2丁目1-20	06-6492-0068
3400010	ヘアーメイク　ココロ		○			福岡県福岡市西区周船寺２丁目１－１７－２Ｆ	092-807-8447
3570023	ＺＯＯＬＯＧＹ		○			大阪府大阪狭山市くみの木６－８３９－１	072-366-8006
30000611	HAIR KIRI		○			大阪府大阪市中央区心斎橋筋１－１－１心斎橋クラシック３Ｆ	06-6252-0756
3430006	ＵＮＤＥＲ　ＷＯＲＬＤ		○			福岡県北九州市小倉北区馬借１－３－２０－１Ｆ	093-551-0305
12001059	FLOWER HAIR			○		福岡県久留米市東合川２丁目３－３１	0942-44-7572
3430007	ｃｏｃｏｃａｒａ-ｈａｉｒ			○		福岡県北九州市八幡西区熊手３－３－３	093-981-3424
10002818	ｆｉｏ		○			福岡県福岡市博多区住吉３－６－８－１０３	090-1877-1680
65000482	MEN'S HAIR SPICE		○			佐賀県佐賀市高木瀬西２－４－５	0952-33-3420
3510002	ヴィーナス		○			福岡県大川市大字鬼古賀8-3	0944-88-1797
14001001	Bunny hair			○		鹿児島県鹿児島市東千石町18-3はぎはらビル2F	099-222-3404
60001188	Salon de ing		○			長崎県長崎市新地町6番56号	095-826-6891
3410017	ｔｗｉｇ		○			福岡県福岡市中央区警固1-15-50アークタウン107	092-724-8507
3410018	ramp Hair Design			○		福岡県福岡市中央区今泉2-1-10第二明則ビル1F	092-406-5057
10000001	Hair&Make Lis Blanc		○			福岡県粕屋郡新宮町下府840-20	092-962-5595
3550017	La parfum横須賀店		○			神奈川県横須賀市本町2-1-12ショッパーズプラザ5F	046-828-8020
3550018	La parfumむさし浦和店		○			埼玉県さいたま市南区別所7-2ザ・ファーストタワー1F	048-844-5077
3550019	La parfum船橋本店		○			千葉県船橋市本町2-14-8	047-437-0660
3550020	La parfum下総中山駅前店		○			千葉県船橋市本中山3-21-17	047-302-7320
3550021	La parfumさくら成田店		○			千葉県成田市公津の杜1-2-15フローラル壱番館	0476-20-5508
3550022	A&a　Beauty新浦安ショッパーズプラザ店		○			千葉県浦安市入船1-4-1ショッパーズプラザ4F	047-351-8191
3420006	PINPS HAIR		○			福岡県久留米市花畑3-3-1	0942-27-9686
3550015	Ｂｏｎｉｔｏ		○			埼玉県草加市住吉1-5-21共和住吉ビル103	048-929-8686
10003397	Ｋｒｏｎｅ		○			福岡県筑紫野市桜台２－２１－２	092-924-6793
14000521	美容室ｈｅａｄ		○			鹿児島県鹿児島市東千石町12-13村山ビル2Ｆ	099-224-5140
31000651	fleur		○			兵庫県神戸市三宮町2-2-4昭和ビル2F	078-333-7977
3520005	ｇｌｉｍｐｓｅ		○			広島県広島市安佐南区中筋一丁目7-12-1Ｆ	082-962-7730
40002192	Michelle by afloat		○			東京都新宿区西新宿7-8-11-101	03-6908-7797
3400011	ShanTI HAIR		○			福岡県福岡市中央区今泉2-1-55　103号	092-577-5199
3410019	ｒｏｏｔ			○		福岡県福岡市中央区今泉1-21-2　1+2Ｆ	092-721-1285
3570028	Malais		○			京都府京都市山科区御陵中内町3	075-634-9165
3440008	ルル・ド・スー		○			大分県臼杵市洲崎4-3	0972-83-5287
3550016	NOEL		○			東京都足立区千住旭町44-10　熊倉ハイツ102	03-3870-8676
3470008	V'eronique		○			熊本県八代市古閑上町150-4ブリッジ古閑1F	0965-34-9755
3550023	uka　丸の内　KITTE			○		東京都千代田区丸の内2-7-2JPタワー3F	03-3217-2011
3550024	美容室　Ｒ		○			宮城県角田市角田字幸町69	0224-63-5885
13000129	ヘアー・エステKELLY		○			熊本県人吉市南泉田町5アジアビル2Ｆ	0966-24-2239
14001713	ｃｈｙｃ　ｈａｉｒ		○			鹿児島県鹿児島市西田２－５－１０フラワービル２Ｆ	099-250-5353
3570025	soie そわ		○			大阪府茨木市春日2-2-3シャトー春日第一ビル101	072-663-8822
60000747	balance			○		長崎県大村市西本町496-3	0957-49-5350
20001134	CHAOS CROWD		○			岡山県岡山市中区藤原西町2丁目7-37	086-270-8555
30002451	Frau		○			奈良県奈良市学園北1-1-11イブビル2F	0742-41-9991
3420008	Hair Create RATNA			○		福岡県大牟田市本町6丁目3-12窪園ビル1F	0944-43-2833
3570032	Ｏ　ｒｏｕｇｅ　ａｍｉ		○			兵庫県姫路市飾磨区蓼野町１４７	079-234-3061
14001464	ＧＲＡＣＥ　ｈａｉｒ　ｄｅｓｉｇｎ		○			鹿児島県鹿児島市吉野町１７５８－１２	099-295-3179
14001816	かおり屋		○			鹿児島県姶良市蒲生町上久徳２４５６	0995-52-0161
10003589	LUKE		○			福岡県福岡市中央区大名2丁目1-11アルボーレ大名4F	092-725-2433
3410020	chronicle			○		福岡県福岡市中央区警固3-13-35ルブラン警固102	092-711-5364
3430008	allure hair		○			大分県中津市大字中殿町2丁目550-8	0979-23-6200
10003583	SEJOUR		○			福岡県福岡市中央区高砂１丁目２０－１８ヒエダデザインビル101	092-406-8291
13002125	美容室クローバー		○			熊本県山鹿市山鹿430-4-103	0968-44-9608
40002233	VATREE HAIR WORKS		○			東京都渋谷区富ヶ谷１－８－１４竹庭代々木公園１０２	03-5738-1582
3400012	hair&make MOHA		○			福岡県福岡市早良区西新1-7-10-202	092-822-7079
3400014	ｈａｎａｔｏｌｉｆｅ		○			福岡県糸島市二丈浜窪390-2	092-325-1916
3440009	Diamond Dresser		○			大分県大分市中央町2丁目3-10二八堂ビル4F	080-3965-7003
3480008	ｎｕｍｂｅｒ　ｇｉｒｌ		○			宮崎県宮崎市恒久4480-2	0985-52-7712
3570031	ＰＬＵＩＥ		○			大阪府大阪市西区北堀江2-6-1渡邊ビル1Ｆ	06-6535-5995
3430009	ｈａｉｒ　ｃｒｅａｔｉｖｅ　ＺＥＡＩＲ		○			若松区高須東3丁目6-9	093-982-0037
3400008	ｍｏｐｅｒ			○		福岡県糟屋郡志免町南里7-6-28	092-936-8844
40002205	hair salon ekubo		○			東京都中央区銀座8-10-2	03-6280-6978
3550027	hair salon lico		○			東京都中央区銀座1-4-3カルチェプラン5Ｆ	03-5579-9825
3550028	Olive for hair		○			東京都豊島区池袋2-35-1アルトプロスペラーレ1Ｆ	03-6914-0898
3550029	hair salon links		○			東京都豊島区南池袋1-19-3池袋嘉泉ビル10Ｆ	03-5985-4850
3550030	hair design collet		○			東京都豊島区池袋2-13-2佐藤ビル3Ｆ	03-6902-1672
10003534	Atelier Bonbon		○			福岡県大野城市白木原4丁目3-28	092-558-8539
3410022	麗心		○			福岡県福岡市中央区警固1-5-30	092-713-6973
35000410	美容室ａｎ・ｒａｔａ		○			和歌山県和歌山市匠町48　1Ｆ	073-499-7144
3570035	HAUL PRODUCTS AREA		○			大阪府大阪市北区大淀中1-13-15	06-4798-8866
11000542	hellblau			○		福岡県北九州市八幡西区八枝3-4-1	
11001293	REGISTA		○			福岡県北九州市八幡西区竹末1丁目12-18-103	093-616-0935
3410023	Salone di Gina			○		福岡県福岡市中央区大濠公園2-35 THE APAERTMENT512	092-717-2324
3470009	白鳩美容院		○			熊本県熊本市東区若葉1丁目35-2	096-369-7209
10003605	LE COEUR		○			福岡県太宰府市通古賀6丁目10-1	092-555-6009
40002144	ａｆｆｅｓ		○			東京都杉並区上高井戸1-8-24	03-3304-3399
3570036	QUEEN'S GARDEN by K-two		○			大阪府大阪市中央区西心斎橋2-4-2難波日興ビルディング2F	06-6214-2129
3400017	free way		○			福岡市早良区室見1丁目5番9号	092-821-2128
13002114	ヘアーアート　シーズ		○			熊本県熊本市中央区新屋敷3丁目10-8-105	096-366-7223
14001451	シェ　ソワ		○			鹿児島県薩摩川内市矢倉町4661-7	0996-23-1903
30002441	Ｋｉｉｔｏｓ		○			生駒市辻町756-1ネオハイツ東生駒	0743-25-8143
35500032	プレゼンス経堂店		○			世田谷区経堂1-12-8　斉藤ビル2F	03-3425-3970
13000817	ヘアメイク　Chou　Chou		○			熊本県熊本市南区江越2-3-1-1F	096-370-4156
35500033	ALUX			○		東京都国立市中1-16-20　2F	042-573-9923
35000090	ビューティーサロン　アート（アート美容室株式会社）			○		和歌山県岩出市溝川199-1	0736-63-0321
40002380	magnolia		○			山形県鶴岡市羽黒町三ツ橋字前田164	0235-78-0120
15000177	美容室ｐｏｃｏ　Ａ　ｐｏｃｏ		○			大分県大分市光吉556-1河野ﾋﾞﾙ1Ｆ	097-569-3450
3500011	ＷＯＭＡＮ2		○			鹿児島県鹿児島市東千石町2-19ゆきざきﾋﾞﾙ4Ｆ	099-222-2894
14000766	美容室ランデブー		○			鹿児島県薩摩川内市矢倉町4202-9	0996-23-5838
34400011	Ｈｅｉｄｉ		○			大分県大分市金池町3-1-93山口ビル203	097-547-8145
11000569	ＨＯＬＹ　ＭＯＬＹ		○			福岡県北九州市小倉北区魚町１-６-１ Ｅビル３Ｆ	093-521-6100
40001111	有限会社アクイール		○			東京都武蔵野市吉祥寺本町1-12-9ベルブランク吉祥寺2F	0422-21-8465
16000085	有限会社コワフュール豊島		○			宮崎県日南市大字戸高1044-8	0987-24-0330
14001689	SESSION　Ｈａｉｒ　Ｄｅｓｉｇｎ		○			鹿児島県鹿児島市谷山中央2丁目4519-3	099-266-6788
34200009	ｅｍｕ　ｈａｉｒ		○			福岡県久留米市日吉町112馬渡ビル1Ｆ南	0942-32-8722
60001150	Lotti Hair		○			長崎県長崎市高丘2-3-32-2Ｆ	095-825-3777
65000340	CHIROL hair			○		佐賀県唐津市栄町2572-24	0955-75-1505
34000021	R:SiERRA		○			福岡県福津市中央尾3-9-17	0940-43-4567
13002129	Hair　ｓｔｕｄｉｏ　ｔａｋｅ		○			荒尾市宮内537-7	090-8418-5779
34500004	Salon・de･Lusso			○		長崎市出島町1-1出島ワーフ206	095-895-7769
30002513	ｃｏｃｏｒｏ　ｓｔｙｌｅ		○			堺市中区深井沢町2712-4	072-270-7733
35700041	K-two　名古屋店		○			名古屋市中区栄3-27-1　5F	052-269-9699
35700040	hairmake ecru		○			大阪市東住吉区公園南矢田4-18-29	06-6692-9902
40002147	Ruxus			○		東京都世田谷区上馬4-3-9-1F	03-6423-0278
13002098	Dress　ｈａｉｒ		○			渋谷区恵比寿南3-2-16-102	03-6412-8755
40002369	QUEEN'S GARDEN by K-two GINZA 			○		東京都中央区銀座7-8-7GINZA　GREEN　6F	03-6252-3285
16000434	maison Torico		○			宮崎県宮崎市橘通東3丁目5-33-2F	0985-22-3307
35500040	ohaco biyoushitsu		○			富山県富山市千石町5丁目3-28	076-481-6667
10003342	Matilda		○			福岡市中央区長浜2丁目3-1-201	092-711-1739
35500041	K-two青山店		○			渋谷区神宮前4-7-14QCｃｕｂｅビル	03-5772-8082
21000059	Viviean Rosso（株式会社RT）		○			高知市知寄町3丁目210	088-885-7016
34200010	NEUTRAL by FLEAR			○		福岡県春日市天神山3-31	092-589-3955
60001067	TORIKO			○		長崎市古川町5-19第2古田ビル2F	095-816-1012
10003512	BROOK　hair　design		○			福岡市中央区渡辺通2-2-1西村ビル4F	092-726-0888
31000668	archive(ｱｰｶｲﾌﾞ）			○		兵庫県神戸市垂水区日向2-2-4垂水日向ビル201-2	078-707-9818
34700010	hair make fard		○			熊本市中央区大江4丁目9-13	096-373-7033
34400012	ＬＩＢＥＲＡ		○			大分市大手町1-3-4遊歩ビル202	097-538-2725
35700039	graces of eternity		○			大阪府泉佐野市羽倉崎1-1-36-2F	072-466-0372
10003639	l'atelier fur		○			筑紫野市筑紫18-5-2	092-408-5710
10003364	ichi		○			福岡市中央区大名1-6-21グラスハウス4F	092-726-6051
13002030	ｅｖｏｌｕｔｉｏｎ			○		熊本市中央区下通1-5-22クイーンズアレイビル2Ｆ	096-319-2260
35500043	PEEK-A-BOO原宿明治通り店			○		渋谷区神宮前6-27-8エムズ原宿4F	03-5468-1180
20000996	AVOIR			○		高知市帯屋町1-7-16-2	088-820-1001
34000023	hair salon tetora		○			福津市津屋崎1丁目32-11	0940-52-0057
34700011	ヘアーデザイン　ラフテルピース			○			
35200010	tef-tef hair make（㈲ヘアースタジオ・エス）		○			広島市南区西旭町14-24	082-251-0200
10003604	La vie HAIR			○		山口県萩市大字土原521-4	0838-21-7275
14000984	hair salon mi cielo		○			鹿児島県出水市高尾野町大久保2183-19	0996-82-0115
34300017	1953		○			北九州市八幡西区清納2丁目1-17	093-681-1953
92068807	MOMENT'S		○			鹿児島市荒田1-16-23	099-206-8807
10003641	HEART yakuin（㈲アップデイト）		○			福岡市中央区薬院2-14-26東洋薬院ビル2F	092-725-2225
34100027	hair make mahora		○			福岡県福岡市墓t区博多駅東1-10-35七福ビル1F	092-292-1439
35200008	fur-fur hair		○			広島県福山市駅家町近田457-1	084-976-9888
10001921	HAIR MAKE glisten		○			福岡市東区千早2丁目25-27-2F	092-662-4390
20001348	LUCE（㈱ルーチェ）		○			広島県広島市中区幟町7番11号	082-222-4311
40001807	BLESS（㈲GFH）		○			渋谷区神宮前3-15-5	03-5414-2262
34200011	フロイデ		○			佐賀市水ヶ江5丁目2-8	0952-27-8566
65000453	Rongo Rongo		○			武雄市武雄町昭和4-8	0954-23-1147
34500006	ローズ美容室		○			長崎市上戸町2-9-3	095-878-5441
34400013	KaiLa		○			大分県大分市高城西町30-23	097-578-8824
14001711	SLOW　HAIR		○			鹿児島県姶良市松原町2-1-11	0995-66-0903
34000026	Arm's（㈲キタムラ）			○		福岡県福津市中央6-20-12	0940-38-4313
35500046	ＳＥＥＳ　ＨＡＩＲ（㈱高宮）			○		江戸川区西葛西6-10-14	03-3686-9983
15000851	ｆｉｌ’ｄｏｒ			○		大分市京が丘南1-8-1	097-511-2589
35500045	ｃｏｌｌｉｎａ		○			東京都渋谷区恵比寿西2-16-12-2Ｆ	03-6427-0874
10003667	ｄｅ　ｒａｎｊｕ		○			福岡市博多区諸岡5-23-6-1Ｆ	092-573-6455
16000856	BARBER SHOP HAMASUNA		○			宮崎県宮崎市佐土原町下田町20296-93	0985-89-3424
3500018	Traffa		○			鹿児島市紫原3丁目31-30有馬ビル102	099-255-6886
10000255	gem for hair		○			福岡市早良区次郎丸4-1-26、1F	092-864-0101
10003617	Chouette hair la paix		○			福岡市早良区城西3丁目2-29-1F	092-400-4432
16000215	SANTAS		○			宮崎県宮崎市橘通東3丁目3-7海幸ﾋﾞﾙ1F	0985-28-1511
10003673	hair room Cattleya		○			春日市下白水南5-8　1F	092-558-3615
34200012	peace HAIR		○			福岡県久留米市本山1-13-33	0942-22-1001
13002147	Luce		○			熊本市南区城南町塚原1345	0964-53-9362
16000879	Tege Hair		○			宮崎県児湯郡高鍋町大字北高鍋1362-2	0983-35-3538
31000719	Dabhands				○	神戸市中央区相生町1-2-15	078-371-4567
34200013	ネットワーク			○		みやま市瀬高町下庄2199-2	0944-63-5589
10003631	Cheerful		○			福岡県福岡市中央区赤坂2-2-39-1Ｆ	092-791-2510
20001225	Emeli Hair		○			広島市中区立町6-13ウィステル立町3F	082-249-4040
13001802	THE　HAIR SHOP		○			熊本市中央区水前寺3-15-18	096-288-9881
20000634	green fingers		○			広島県広島市中央区本通8-7　2F	082-249-6281
35500049	Door		○			東京都渋谷区代官山町18-6　2F	03-5456-4031
31000715	GON美容室		○			神戸市須磨区大黒町2丁目2-20ドミール大黒202	078-735-0241
40001870	HACO			○		東京都江戸川区西葛西6-18-3KIRAKUⅡ地下2号	03-6808-7401
40001882	YLANG　YLANG		○			神奈川県横浜市中区山下町斉藤ビル202	045-263-8171
40001890	FIGUE美容室			○		東京都渋谷区恵比寿南1-16-4-1F	03-3711-4494
13002057	LAB			○		熊本県熊本市中央区上通町4-18井上第2ビル4階	096-355-5158
13001745	kamigeshou toridori		○			福岡県大牟田市不知火町3丁目154-3	0944-32-9443
10001216	LALAGRAY		○			福岡県福岡市中央区今泉1-18-48-105	092-715-3171
10003456	inity		○			福岡県福岡市中央区白金1-6-21	092-531-6039
13002087	AUBE		○			熊本県合志市須屋2094-3	096-297-7747
30002236	L'AMBRE		○			大阪府大阪市中央区今橋3-2-12BALLE MAX４F	06-7172-1004
0337-2	fairy		○			島根県松江市西尾町25-6	0852-39-0184
0349-1	ZAFRA		○			宮崎県日向市財光寺1438-7	0985-60-3243
17000114	Tricot coiffure		○			宮崎県東臼杵郡門川町東栄町4-1-26	0982-57-4767
0350-2	Suite HAIR DESIGN		○			鹿児島県鹿児島市泉町5-13-2Ｆ	099-222-7350
14001026	美容室　髪芝居		○			鹿児島県鹿屋市寿7丁目8-6	0994-44-8318
0340-3	iara		○			福岡県宗像市土穴1-12-16	0940-72-4665
3550002	Lien			○		東京都港区北青山3-7-1-2F	03-3409-3650
10003267	JUNO		○			福岡県太宰府市五条２丁目11-1	092-925-5600
13000841	ﾉｳｽﾞ･ｸﾜﾌｰﾙ		○			熊本県 八代市 海士江町3363-2-101	0965-32-0930
10000183	HAIR MAKE BAMBOO			○		福岡県飯塚市片島1-4-29	0948-25-6687
13000372	美容室　彩		○			熊本県熊本市南区近見3丁目9-19	096-359-3355
10003455	Lanai hair-make-space			○		福岡県福岡市中央区薬院3-6-11-2Ｆ	092-534-3375
30002356	美容室アリガト		○			愛知県名古屋市千種区仲田2丁目18－2	052-761-7723
3570004	ANOUCHKA		○			大阪府大阪市中央区南船場3-2-6-407	06-6251-5078
17000097	RIVER		○			宮崎県日向市財光寺622-1	0982-57-3056
30001751	ASTERISK		○			大阪府大阪市西区南堀江1-10-1-4F	06-6534-7611
40000435	ZILCH		○			東京都新宿区新宿1-31-3浜野ビル1F&B1	03-6912-1271
3440001	UNION HAIR		○			大分県別府市石垣東1-6-17	0977-73-4858
12001083	OLIVE		○			福岡県みやま市高田町岩津440-4	0944-22-4609
60000923	オランジェ		○			長崎県島原市前浜町2-1	0957-63-6883
21000047	BROCANTE		○			香川県高松市浜ノ町49-20-2F-A	087-802-1213
0337-3	ROOF WIDE			○		香川県高松市屋島西町866-6	087-844-8823
3430002	ARLY'S THE BEAUTY SHOP		○			福岡県大牟田市通町1丁目10-4	0944-57-6355
10001451	SOL HAIR DESIGN		○			福岡県福岡市早良区百道1-18-22-4	092-845-2345
40000776	ANGLE		○			東京都渋谷区代官山町7-8ドッケン代官山202	03-6277-5481
3440002	OIL		○			大分県大分市府内町3-5-4五番街ビル１F	097-574-7111
11001114	HAIR SALON GUINNESS		○			福岡県北九州市八幡西区淺川学園台3-18-10-101	093-602-1231
13001203	ﾌｸﾉｶﾐﾍｱｰ		○			熊本県熊本市中央区本荘5丁目15-6カリン本荘1Ｆ	096-364-7000
61000112	HAIR&RELAX ARK			○		長崎県佐世保市三浦町6-9	0956-22-6856
3570007	NOI		○			大阪府大阪市西区新町1-20-2-2F	06-6543-3555
15000249	ﾋﾞｽｺｯﾃｨ ﾍｱ		○			大分県大分市府内町2-6-17ｱｸｱﾋﾞﾙ1F	097-548-5135
3400003	SHINN HAIR CREATE		○			大分県大分市要町5番12号エテルノ駅南102	097-545-9399
3410011	BIJOUX			○		福岡県福岡市中央区大名1-12-56THE SHOPS305	092-732-7558
3410012	BIJOUX ANC			○		福岡県福岡市南区井尻3-10-12政都ビル1-N	092-573-8018
17000070	理髪堂PICK UP		○			宮崎県延岡市大貫町4丁目1321-1	0982-35-5130
40002086	ATELIER-KAZU				○	東京都渋谷区笹塚1-48-19-404	03-3485-4700
13001050	ウォーボンネット			○		熊本県熊本市東区月出1-7-46ロイヤルコーポ1F	096-385-0277
40002080	R GRANDE　浜北中瀬店				○	静岡県浜松市浜北区中瀬1685-1	053-588-7712
65000607	TILA		○			佐賀県佐賀市新栄東2丁目4-4	0952-37-8615
3570008	RE CASPELL		○			大阪府高槻市北園町13-22	072-683-6880
13000624	ｸｰﾙ美容室		○			熊本県熊本市中央区水前寺5丁目10-10	096-285-6513
16000423	MEEK		○			宮崎県宮崎市吉村町堂ノ後2604	0985-20-3939
3440005	UNSOL HAIR		○			大分県大分市光吉918-1AMORAI　1F	097-569-6057
13001085	PUTRI		○			熊本県熊本市中央区水道町8-3トモイビル2F	096-324-8760
10000425	shaka（ｼｬｶ）		○			福岡県福岡市中央区黒門2-30	092-734-4014
30000243	RUSH布施店		○			大阪府東大阪市長堂3-2-6	06-6781-1614
3480004	A LITTLE SALON NIIINA		○			宮崎県宮崎市霧島2丁目257-1	0985-73-9217
10000351	HAIR SPACE TOI TOI TOI		○			福岡県福岡市中央区薬院4丁目8-10-1F	092-526-0178
3500005	美容室バンブー		○			鹿児島県鹿児島市東千石町7-15-3F	099-239-7166
3570011	THE SALON		○			大阪府大阪市北区豊崎3-8-18	06-6359-3779
3400007	BARRETTE		○			福岡県福岡市東区箱崎3-1-15ONEOFFﾋﾞﾙ1F	092-633-2077
3420002	ﾏﾛﾐ美容室		○			福岡県うきは市吉井町925-1	0943-75-2620
3550007	HANJEE HAIR GALLERY		○			東京都目黒区青葉台1-18-7ｶｽﾀﾘｱ中目黒1108	03-5856-5055
13001829	ｈａｉｒカンカン		○			熊本県合志市幾久富1909-779	096-327-9111
3570014	JILL HAIR DESIGN		○			大阪府大阪市中央区東心斎橋１－１９－２２－５Ｆ	06-6245-4705
3440006	JILL VESTA		○			大分県大分市府内町1-3-4-2F	097-533-6036
3550009	ACOTTO　ＣＯＴＥ		○			東京都世田谷区代沢５－３５－７	03-5787-6878
20000675	SORA HAIR			○		広島県福山市奈良津町1-9-5	084-971-7500
3500007	MILKY WAY		○			鹿児島県霧島市隼人町住吉365-1	090-7153-1370
3570013	ｽﾀｼﾞｵ･ﾊｰﾂ		○			大阪府東大阪市新池島町3-5-3ｻﾝﾊｳｽ1F	0729-88-5523
16000855	IMAGINE		○			宮崎県都城市北原町１４５８－４	0986-21-6339
13001116	HAIR PRODUCE CLOVER		○			熊本県水俣市白浜町1-38	0966-63-3788
13002098	DRESS HAIR		○			熊本県 菊池郡大津町室１４７ニューダイシンビル１Ｆ	096-237-7557
13002101	PARABOLA		○			熊本県天草市亀場町亀川２３４０－５	0969-66-9121
40002107	CLOSET		○			東京都新宿区新宿１-１０-５岡田ビル１Ｆ	03-6380-4593
3430005	QUSHCA		○			福岡県北九州市小倉北区足立２丁目１１－４１	093-931-6420
13000533	CIRCUS HAIR		○			熊本県阿蘇市一の宮町三野１８５－６	0967-22-5301
3480005	ｸﾞﾗﾝﾒｰﾙ		○			宮崎県宮崎市高岡町高浜２６４２－１	0985-82-4588
16000289	美容室　P-KEY		○			宮崎県都城市上長飯町１０－１－１	0986-26-6307
3420003	P.P.		○			福岡県久留米市小頭町３－３８	0942-37-7101
3550011	FUGA HAIR		○			神奈川県川崎市中原区木月２－１９－７	044-863-7167
10003551	FEV		○			福岡県福岡市中央区大名２丁目１－３７－４０１	090-8418-0262
14001696	COMMUNE		○			鹿児島県鹿児島市坂之上６丁目２３－１－１Ｆ中央	099-296-9987
16000614	てふてふ美容室		○			宮崎県宮崎市大塚台東１丁目１－１	0985-47-0808
3410007	PLUS			○		福岡県福岡市中央区今泉１丁目１０－１９	092-724-2323
16000460	SINCERITY		○			宮崎県宮崎市恒久６丁目１６－１６	0985-86-7888
3470005	グランドギャラリー		○			熊本県熊本市中央区南坪井町１－９山村ビル３０１	096-288-2637
10001084	Sapli hair creation		○			福岡県福岡市早良区原6-29-12-1F	092-846-5810
35200013	Ｃｏｆｆｒｅｔ		○			広島県福山市三吉町4丁目13-15　1Ｆ	084-926-6068
35500050	ＨＥＡＶＥＮＳ　HARAJUKU（㈱ヘブンス）		○			東京都渋谷区神宮前6-8-4アイズビル2F	03-5469-8864
40002521	美容室イングローブ千葉ニュータウン店				○	千葉県印西市南西ヶ作146	
35700043	alma hair story		○			大阪府門真市速見町8-24	06-6904-0381
14001884	Hair Vinovation		○			鹿児島市薬師2-8-31西村ビル101	099-258-2707
35200014	ｓｕｎｆａｃｅ		○			福山市東桜町8-10	084-927-1616
35500052	ヘアースペース　パテオ		○			千葉県柏市旭町1-1-19第2豊倉ﾋﾞﾙ1F	04-7146-1600
35500055	美容室ムーブ		○			千葉県白井市清水口1-1-1マルエツ内２F	047-498-3068
35500061	ヘア　リブ		○			東京都江戸川区船堀1-1-51ダイエー店内３Ｆ	03-5605-5614
35500053	ａｇｌａｉａ		○			東京都中央区銀座5-14-15サンリット銀座ビルＢ１Ｆ	03-5550-0056
35500054	フラワーズ　ヘア		○			千葉県佐倉市染井野4-7-1ヤオコーショッピングセンター内１Ｆ	043-463-3048
35500056	Ⅰｎｇｒｏｖｅベイシア長生店		○			千葉県長生郡長生村大字金田ベイシア内１F	0475-32-6085
35500057	Ⅰｎｇｒｏｖｅベイシア大原店		○			千葉県いすみ市日在41ベイシア内	0470-62-4000
35500058	Ｌａｃｉｅｌ両国店		○			東京都墨田区両国２－１７－１１　１Ｆ	03-3632-3656
35500060	Ｆｕｓｅ		○			東京都世田谷区祖師谷3-37-24　1F	03-5429-2711
